hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,V3,Name,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,,111.165,,0.0,20.2518,111.16799999999999,20.2518,-68.8321,2404.76,monload-611_runway,,,,,,,,2.4,,,1.0019833333333334
2,0.0,,111.154,,0.0,21.49,111.155,21.49,-68.8454,2404.39,monload-611_runway,,,,,,,,2.4,,,1.0018291666666665
3,0.0,,111.18,,0.0,18.735,111.178,18.735,-68.8216,2405.56,monload-611_runway,,,,,,,,2.4,,,1.0023166666666667
4,0.0,,111.186,,0.0,18.1696,111.185,18.1696,-68.8145,2405.81,monload-611_runway,,,,,,,,2.4,,,1.0024208333333333
5,0.0,,110.956,,0.0,18.3433,110.958,18.3433,-69.0418,2395.04,monload-611_runway,,,,,,,,2.4,,,0.9979333333333333
6,0.0,,110.81200000000001,,0.0,19.8621,110.81299999999999,19.8621,-69.1873,2388.05,monload-611_runway,,,,,,,,2.4,,,0.9950208333333334
7,0.0,,109.955,,0.0,29.8483,109.956,29.8483,-70.0443,2347.92,monload-611_runway,,,,,,,,2.4,,,0.9783000000000001
8,0.0,,110.086,,0.0,31.8618,110.085,31.8618,-69.9154,2354.03,monload-611_runway,,,,,,,,2.4,,,0.9808458333333334
9,0.0,,109.647,,0.0,44.0268,109.647,44.0268,-70.3527,2334.06,monload-611_runway,,,,,,,,2.4,,,0.972525
10,0.0,,110.068,,0.0,37.8158,110.068,37.8158,-69.9323,2354.55,monload-611_runway,,,,,,,,2.4,,,0.9810625000000001
11,0.0,,110.458,,0.0,26.7204,110.45200000000001,26.7204,-69.548,2373.02,monload-611_runway,,,,,,,,2.4,,,0.9887583333333333
12,0.0,,111.24,,0.0,25.0426,111.24,25.0426,-68.7602,2411.59,monload-611_runway,,,,,,,,2.4,,,1.0048291666666667
13,0.0,,110.40299999999999,,0.0,24.9564,110.404,24.9564,-69.5965,2370.18,monload-611_runway,,,,,,,,2.4,,,0.987575
14,0.0,,110.802,,0.0,24.9959,110.79799999999999,24.9959,-69.2023,2389.81,monload-611_runway,,,,,,,,2.4,,,0.9957541666666666
15,0.0,,111.09700000000001,,0.0,24.9268,111.09299999999999,24.9268,-68.9071,2404.34,monload-611_runway,,,,,,,,2.4,,,1.0018083333333334
16,0.0,,111.126,,0.0,24.7866,111.12299999999999,24.7866,-68.8772,2405.81,monload-611_runway,,,,,,,,2.4,,,1.0024208333333333
17,0.0,,110.525,,0.0,25.989,110.52600000000001,25.989,-69.4739,2376.04,monload-611_runway,,,,,,,,2.4,,,0.9900166666666667
18,0.0,,109.83,,0.0,31.4301,109.83,31.4301,-70.1696,2341.77,monload-611_runway,,,,,,,,2.4,,,0.9757375
19,0.0,,109.53,,0.0,43.1551,109.53200000000001,43.1551,-70.4679,2327.64,monload-611_runway,,,,,,,,2.4,,,0.96985
20,0.0,,109.542,,0.0,45.3034,109.541,45.3034,-70.459,2328.33,monload-611_runway,,,,,,,,2.4,,,0.9701375
21,0.0,,109.709,,0.0,47.8087,109.708,47.8087,-70.2922,2336.31,monload-611_runway,,,,,,,,2.4,,,0.9734625
22,0.0,,109.906,,0.0,46.4444,109.904,46.4444,-70.0956,2345.91,monload-611_runway,,,,,,,,2.4,,,0.9774624999999999
