hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Name,Q3(kvar),P4(kW),Q4(kvar),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
13,0.0,-24.8271,-4.27301e-05,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
18,0.0,-15.842,-9.78924e-06,,0.0,,mongenerator-battery_633,,,,,,,,,,,,,,,
