hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,Name,V3,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,2238.35,126.281,0.0,0.0,43.4382,77.4671,43.4382,-102.533,monload-611_runway,,,,,,,,,2.4,0.9326458333333333,0.0,
2,0.0,2238.35,126.281,0.0,0.0,43.4382,77.4671,43.4382,-102.533,monload-611_runway,,,,,,,,,2.4,0.9326458333333333,0.0,
3,0.0,2238.35,126.281,0.0,0.0,43.4382,77.4671,43.4382,-102.533,monload-611_runway,,,,,,,,,2.4,0.9326458333333333,0.0,
4,0.0,2238.35,126.281,0.0,0.0,43.4382,77.4671,43.4382,-102.533,monload-611_runway,,,,,,,,,2.4,0.9326458333333333,0.0,
5,0.0,2233.7,126.096,0.0,0.0,43.343,77.2822,43.343,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
6,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
7,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
8,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
9,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
10,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
11,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
12,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
13,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
14,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
15,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
16,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
17,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
18,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
19,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
20,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
21,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
22,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
23,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
24,0.0,2233.7,126.096,0.0,0.0,43.3429,77.2819,43.3429,-102.718,monload-611_runway,,,,,,,,,2.4,0.9307083333333332,0.0,
