Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.77, -120.0,         1, 3,    2401.75,  120.0,   0.99999
"650", 4.16, 1,    2401.74,    0.0,   0.99998, 2,    2401.75, -120.0,   0.99999, 3,    2401.73,  120.0,   0.99998
"RG60", 4.16, 1,     2446.7,    0.0,    1.0187, 2,    2446.67, -120.0,    1.0187, 3,    2461.64,  120.0,    1.0249
"633", 4.16, 1,    2356.15,    0.6,     0.981, 2,     2332.9, -121.2,   0.97132, 3,    2324.15,  119.0,   0.96768
"634", 0.48, 1,    262.461,    2.1,   0.94707, 2,    269.181, -121.2,   0.97132, 3,    268.171,  119.0,   0.96768
"684", 4.16, 2,    2346.07, -121.1,   0.97681, 3,    2181.03,  117.4,   0.90809, 0, 0, 0, 0
"645", 4.16, 1,          0,    0.0,         0, 2,    2320.01, -121.3,   0.96596, 3,          0,    0.0,         0
"646", 4.16, 2,    2313.26, -121.3,   0.96314, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    2365.55,   -0.9,   0.98492, 2,    2346.07, -121.1,   0.97681, 3,    2232.22,  117.8,    0.9294
"675", 4.16, 1,     2356.8,   -1.2,   0.98127, 2,    2339.04, -121.3,   0.97388, 3,    2226.57,  117.5,   0.92705
"611", 4.16, 3,    2176.39,  117.3,   0.90616, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    2168.71,  117.5,   0.90296, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2354.44,   -0.1,   0.98029, 2,    2329.56, -121.4,   0.96993, 3,    2278.47,  118.6,   0.94866
"671", 4.16, 1,    2365.55,   -0.9,   0.98492, 2,    2346.07, -121.1,   0.97681, 3,    2232.22,  117.8,    0.9294
"632", 4.16, 1,    2366.79,    0.3,   0.98543, 2,     2332.9, -121.2,   0.97132, 3,    2324.15,  119.0,   0.96768
