hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
1,0.0,274.745,-97.9983,,,,,51.8589,60.0,,,,,monisource-isource_newdiesel675_1_shape,14.247973480499999,,
2,0.0,270.82,-97.9983,,,,,51.1152,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.843018464,,
3,0.0,271.973,-97.9983,,,,,51.3338,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.961407587399998,,
4,0.0,272.137,-97.9983,,,,,51.3647,60.0,,,,,monisource-isource_newdiesel675_1_shape,13.9782353639,,
5,0.0,287.577,-97.9983,,,,,54.2909,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.6128141493,,
6,0.0,300.483,-97.9983,,,,,56.7369,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.048473922699998,,
7,0.0,343.253,-97.9983,,,,,64.8425,60.0,,,,,monisource-isource_newdiesel675_1_shape,22.2573826525,,
8,0.0,314.733,-97.9983,,,,,59.4375,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.7069426875,,
9,0.0,304.329,-97.9983,,,,,57.4657,60.0,,,,,monisource-isource_newdiesel675_1_shape,17.4884790153,,
10,0.0,259.52,-97.9983,,,,,48.9736,60.0,,,,,monisource-isource_newdiesel675_1_shape,12.709628672,,
11,0.0,231.531,-97.9983,,,,,43.6692,60.0,,,,,monisource-isource_newdiesel675_1_shape,10.110773545199999,,
12,0.0,84.0191,-97.9983,,,,,15.7131,60.0,,,,,monisource-isource_newdiesel675_1_shape,1.32020052021,,
13,0.0,252.164,-97.9983,,,,,47.5795,60.0,,,,,monisource-isource_newdiesel675_1_shape,11.997837038,,
14,0.0,180.822,-97.9983,,,,,34.0589,60.0,,,,,monisource-isource_newdiesel675_1_shape,6.1585984158,,
15,0.0,122.41,-97.9983,,,,,22.9888,60.0,,,,,monisource-isource_newdiesel675_1_shape,2.814059008,,
16,0.0,113.14,-97.9983,,,,,21.2321,60.0,,,,,monisource-isource_newdiesel675_1_shape,2.402199794,,
17,0.0,224.198,-97.9983,,,,,42.2795,60.0,,,,,monisource-isource_newdiesel675_1_shape,9.478979341,,
18,0.0,345.259,-97.9983,,,,,65.2227,60.0,,,,,monisource-isource_newdiesel675_1_shape,22.5187241793,,
19,0.0,370.643,-97.9983,,,,,70.0334,60.0,,,,,monisource-isource_newdiesel675_1_shape,25.9573894762,,
20,0.0,366.033,-97.9983,,,,,69.1598,60.0,,,,,monisource-isource_newdiesel675_1_shape,25.3147690734,,
21,0.0,353.63,-97.9983,,,,,66.8092,60.0,,,,,monisource-isource_newdiesel675_1_shape,23.625737396,,
22,0.0,336.605,-97.9983,,,,,63.5826,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.402221073,,
23,0.0,309.935,-97.9983,,,,,58.5281,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.1399066735,,
24,0.0,295.412,-97.9983,,,,,55.7758,60.0,,,,,monisource-isource_newdiesel675_1_shape,16.476840629599998,,
25,0.0,288.103,-97.9983,,,,,54.3905,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.6700662215,,
26,0.0,289.076,-97.9983,,,,,54.5751,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.776351607600002,,
27,0.0,289.841,-97.9983,,,,,54.72,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.86009952,,
28,0.0,290.483,-97.9983,,,,,54.8416,60.0,,,,,monisource-isource_newdiesel675_1_shape,15.9305524928,,
29,0.0,337.287,-97.9983,,,,,63.7119,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.489195615299998,,
30,0.0,358.013,-97.9983,,,,,67.6397,60.0,,,,,monisource-isource_newdiesel675_1_shape,24.215891916100002,,
31,0.0,459.838,-97.9983,,,,,86.9375,60.0,,,,,monisource-isource_newdiesel675_1_shape,39.977166125000004,,
32,0.0,504.186,-97.9983,,,,,95.3421,60.0,,,,,monisource-isource_newdiesel675_1_shape,48.0701520306,,
33,0.0,487.52,-97.9983,,,,,92.1836,60.0,,,,,monisource-isource_newdiesel675_1_shape,44.941348672,,
34,0.0,436.955,-97.9983,,,,,82.6006,60.0,,,,,monisource-isource_newdiesel675_1_shape,36.092745173,,
35,0.0,388.783,-97.9983,,,,,73.4712,60.0,,,,,monisource-isource_newdiesel675_1_shape,28.5643535496,,
36,0.0,550.267,-97.9983,,,,,104.075,60.0,,,,,monisource-isource_newdiesel675_1_shape,57.26903802500001,,
