hour,t(sec),P1(kW),Q1(kvar),P2(kW),Q2(kvar),P3(kW),Name
1,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
2,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
3,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
4,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
5,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
6,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
7,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
8,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
9,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
10,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
11,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
12,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
13,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
14,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
15,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
16,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
17,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
18,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
19,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
20,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
21,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
22,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
23,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
24,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
25,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
26,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
27,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
28,0.0,0.0,0.0,,0,,mongenerator-generator_newbattery_675_1_shape
